latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
46.086169186111114,6.546519638888888,604.86,16.31667,20,2026,-47070.082
46.08617037777778,6.54652005,605.4616,16.32500,20,2026,-50907.640
46.08616731111111,6.546521077777777,605.4574,16.33333,20,2026,-54753.361
46.08616732777778,6.546522100000001,605.4497,16.34167,20,2026,-58592.604
46.086166711111126,6.546522122222221,605.7926,16.35000,20,2026,-62427.643
46.086166169444446,6.546522355555555,606.0179,16.35833,20,2026,-66265.495
46.0861662888889,6.546523011111111,605.9056,16.36667,20,2026,-70101.372
46.086165822222235,6.54652205,605.8759,16.37500,20,2026,-73938.957
46.086166444444444,6.5465209444444445,605.7488,16.38333,20,2026,-77785.824
46.086166725000005,6.546521733333333,605.6327,16.39167,20,2026,-81627.518
46.08616643055556,6.5465215444444445,605.5725,16.40000,20,2026,-85469.638
46.08616648055556,6.546521886111111,605.4501,16.40833,20,2026,-89314.522
46.086166600000006,6.546521608333333,605.3861,16.41667,20,2026,-93155.735
46.08616683333334,6.546521327777778,605.333,16.42500,20,2026,-97001.350
46.08616690555557,6.546520697222222,605.2952,16.43333,20,2026,-100847.969
46.08616702777778,6.546520022222221,605.2608,16.44167,20,2026,-104685.743
46.086167036111114,6.546519516666667,605.2599,16.45000,20,2026,-108525.876
46.08616696666667,6.546518836111111,605.2532,16.45833,20,2026,-112371.932
46.08616703055556,6.546518777777778,605.2352,16.46667,20,2026,-116213.679
46.086167041666684,6.546518683333332,605.2071,16.47500,20,2026,-120049.805
46.08616700555556,6.546518675,605.1903,16.48333,20,2026,-123894.141
46.086166977777786,6.546518316666667,605.1729,16.49167,20,2026,-127738.813
46.086166950000006,6.546517908333334,605.1555,16.50000,20,2026,-131575.198
46.08616700833333,6.54651765,605.1238,16.50833,20,2026,-135417.419
46.08616699722222,6.546517488888889,605.1082,16.51667,20,2026,-139260.012
46.08616700277778,6.546517258333333,605.1084,16.52500,20,2026,-143100.341
46.08616703055556,6.546516991666667,605.0997,16.53333,20,2026,-146947.903
46.08616708888889,6.546516861111111,605.0867,16.54167,20,2026,-150797.890
46.0861671138889,6.546516677777776,605.0708,16.55000,20,2026,-154644.655
46.08616715555556,6.546516772222221,605.0503,16.55833,20,2026,-158502.501
46.086167197222224,6.546516786111111,605.0553,16.56667,20,2026,-162360.080
46.08616725277778,6.546516766666667,605.0577,16.57500,20,2026,-166214.774
46.08616725833334,6.546516811111111,605.0527,16.58333,20,2026,-170078.582
46.086167272222234,6.5465168388888895,605.0529,16.59167,20,2026,-173938.041
46.0861673,6.546516811111111,605.0504,16.60000,20,2026,-177798.828
46.086167297222225,6.546516897222221,605.0459,16.60833,20,2026,-181670.680
46.08616731944445,6.546516919444445,605.0448,16.61667,20,2026,-185537.244
46.086167361111116,6.546516883333332,605.0414,16.62500,20,2026,-189397.799
46.08616738888889,6.546516883333332,605.0401,16.63333,20,2026,-193258.563
46.086167413888894,6.546516855555556,605.0347,16.64167,20,2026,-197111.542
46.08616741944444,6.546516836111111,605.027,16.65000,20,2026,-200961.648
46.08616743611111,6.546516719444444,605.022,16.65833,20,2026,-204818.900
46.08616744722222,6.546516655555555,605.0215,16.66667,20,2026,-208675.622
46.08616747777779,6.5465166083333335,605.0185,16.67500,20,2026,-212539.505
46.08616750833334,6.54651648611111,605.0178,16.68333,20,2026,-216409.626
46.086167522222226,6.546516383333333,605.0158,16.69167,20,2026,-220272.762
46.086167525,6.546516316666666,605.0154,16.70000,20,2026,-224133.910
46.0861675,6.546516313888889,605.0152,16.70833,20,2026,-228002.685
46.08616751111112,6.5465162944444435,605.0141,16.71667,20,2026,-231861.995
46.086167525,6.546516263888887,605.0166,16.72500,20,2026,-235718.730
46.086167522222226,6.546516269444444,605.019,16.73333,20,2026,-239579.614
46.086167519444444,6.546516247222221,605.0232,16.74167,20,2026,-243436.935
46.08616753333333,6.546516197222221,605.0263,16.75000,20,2026,-247288.205
46.08616753333333,6.546516180555555,605.0281,16.75833,20,2026,-251145.493
46.086167519444444,6.546516216666666,605.032,16.76667,20,2026,-255000.101
46.086167525,6.546516205555554,605.0348,16.77500,20,2026,-258853.175
46.08616752777778,6.546516244444445,605.0333,16.78333,20,2026,-262708.983
46.086167541666676,6.546516241666667,605.0317,16.79167,20,2026,-266554.563
46.08616753611111,6.546516241666667,605.0313,16.80000,20,2026,-270400.121
46.08616752777778,6.5465162305555555,605.0318,16.80833,20,2026,-274242.945
46.086167519444444,6.546516166666667,605.0336,16.81667,20,2026,-278080.136
46.086167541666676,6.546516094444445,605.0305,16.82500,20,2026,-281920.450
46.08616754444446,6.546516083333334,605.0303,16.83333,20,2026,-285756.752
46.08616755833333,6.546516044444442,605.0277,16.84167,20,2026,-289589.169
46.08616732777778,6.546515858333334,605.0897,16.84167,20,2026,0.000
46.08616732777778,6.546515858333334,605.0897,16.84167,20,2026,0.000
